,x,y
0,168,113
1,169,113
2,170,113
3,171,113
4,172,113
5,167,114
6,168,114
7,169,114
8,170,114
9,171,114
10,172,114
11,166,115
12,167,115
13,168,115
14,169,115
15,170,115
16,171,115
17,172,115
18,166,116
19,167,116
20,168,116
21,169,116
22,171,116
23,172,116
24,161,117
25,162,117
26,163,117
27,164,117
28,165,117
29,166,117
30,167,117
31,161,118
32,162,118
33,163,118
34,164,118
35,165,118
36,166,118
37,167,118
38,161,119
39,162,119
40,163,119
41,164,119
42,165,119
43,166,119
44,167,119
45,161,120
46,162,120
47,163,120
48,164,120
49,165,120
50,166,120
51,167,120
52,161,121
53,162,121
54,163,121
55,164,121
56,165,121
57,166,121
58,167,121
59,174,121
60,161,122
61,162,122
62,163,122
63,164,122
64,165,122
65,166,122
66,174,122
67,167,134
68,168,134
69,102,135
70,103,135
71,166,135
72,167,135
73,168,135
74,169,135
75,170,135
76,171,135
77,172,135
78,167,136
79,168,136
80,169,136
81,170,136
82,167,137
83,168,137
84,169,137
85,170,137
86,171,137
87,168,138
88,169,138
89,170,138
90,232,140
91,233,140
92,234,140
93,235,140
94,236,140
95,233,141
96,234,141
97,235,141
98,236,141
99,233,142
100,234,142
101,235,142
102,236,142
103,162,143
104,114,155
105,122,155
106,123,155
107,124,155
108,125,155
109,126,155
110,127,155
111,128,155
112,129,155
113,130,155
114,131,155
115,132,155
116,122,156
117,123,156
118,124,156
119,125,156
120,126,156
121,127,156
122,128,156
123,129,156
124,130,156
125,131,156
126,132,156
127,122,157
128,123,157
129,124,157
130,125,157
131,126,157
132,127,157
133,128,157
134,129,157
135,130,157
136,131,157
137,132,157
138,133,157
139,114,158
140,115,158
141,122,158
142,123,158
143,124,158
144,125,158
145,126,158
146,127,158
147,128,158
148,129,158
149,130,158
150,131,158
151,132,158
152,133,158
153,114,159
154,115,159
155,123,159
156,124,159
157,125,159
158,126,159
159,127,159
160,128,159
161,129,159
162,130,159
163,131,159
164,132,159
165,133,159
166,126,160
167,127,160
168,128,160
169,129,160
170,130,160
171,124,170
172,125,170
173,91,255
174,93,255
